Wavelength,UVT
0.19,0.4519961
0.191,0.466025
0.192,0.48008922
0.193,0.49442506
0.194,0.5094534
0.195,0.52448
0.196,0.5395078
0.197,0.55453503
0.198,0.5695621
0.199,0.5845896
0.2,0.599617
0.201,0.6146446
0.202,0.62967205
0.203,0.64469963
0.20400000000000001,0.6597265
0.20500000000000002,0.6747537
0.20600000000000002,0.6897815
0.20700000000000002,0.7048086
0.20800000000000002,0.7198362
0.209,0.7357353
0.21,0.75174195
0.211,0.76774925
0.212,0.783756
0.213,0.7982462
0.214,0.8106981
0.215,0.82312477
0.216,0.83120155
0.217,0.83911604
0.218,0.8470309
0.219,0.85494524
0.22,0.8628728
0.221,0.8682112
0.222,0.8732208
0.223,0.8780466
0.224,0.8828468
0.225,0.88764703
0.226,0.89244723
0.227,0.8970098
0.228,0.9004331
0.229,0.90385646
0.23,0.90727997
0.231,0.91070336
0.232,0.9141268
0.233,0.91755015
0.23399999999999999,0.9209736
0.235,0.92439705
0.236,0.9280021
0.237,0.9318579
0.238,0.9357136
0.239,0.9393421
0.24,0.94265515
0.241,0.9459681
0.242,0.9492813
0.243,0.95259434
0.244,0.9556823
0.245,0.95871955
0.246,0.9606909
0.247,0.9619332
0.248,0.9631754
0.249,0.96441776
0.25,0.9656601
0.251,0.9663189
0.252,0.9666684
0.253,0.96701795
0.254,0.9673675
0.255,0.9675144
0.256,0.96766585
0.257,0.967999
0.258,0.96833235
0.259,0.96866554
0.26,0.9689988
0.261,0.969332
0.262,0.9696652
0.263,0.9699984
0.264,0.9703317
0.265,0.9706649
0.266,0.9709981
0.267,0.9713781
0.268,0.97178847
0.269,0.9721987
0.27,0.9726091
0.271,0.9730194
0.272,0.9734298
0.273,0.97384006
0.274,0.97425044
0.275,0.9746608
0.276,0.9750711
0.277,0.97548145
0.278,0.97589177
0.279,0.97630215
0.28,0.9767124
0.281,0.9771228
0.28200000000000003,0.97753495
0.28300000000000003,0.9779497
0.28400000000000003,0.9783642
0.28500000000000003,0.9787789
0.28600000000000003,0.9791936
0.28700000000000003,0.97960824
0.28800000000000003,0.98002285
0.28900000000000003,0.9804376
0.29000000000000004,0.9809616
0.29100000000000004,0.9814981
0.29200000000000004,0.9820345
0.29300000000000004,0.98257095
0.29400000000000004,0.9831075
0.295,0.98364383
0.296,0.9841803
0.297,0.9847168
0.298,0.98525316
0.299,0.9857896
0.3,0.98632616
0.301,0.98686254
0.302,0.98739904
0.303,0.9879354
0.304,0.98847187
0.305,0.98870707
0.306,0.9888451
0.307,0.9889833
0.308,0.9891214
0.309,0.9892594
0.31,0.9893931
0.311,0.9895227
0.312,0.9896522
0.313,0.9897818
0.314,0.9899114
0.315,0.99004096
0.316,0.9901704
0.317,0.9903
0.318,0.9904296
0.319,0.99055916
0.32,0.99068874
0.321,0.9908183
0.322,0.9909478
0.323,0.99107736
0.324,0.99120694
0.325,0.9913365
0.326,0.9914661
0.327,0.9915956
0.328,0.9917252
0.329,0.9918503
0.33,0.9918408
0.331,0.99176675
0.332,0.99169046
0.333,0.9915542
0.334,0.99141794
0.33499999999999996,0.9912643
0.33599999999999997,0.9911017
0.33699999999999997,0.9909391
0.33799999999999997,0.9907766
0.33899999999999997,0.990614
0.33999999999999997,0.99045146
0.34099999999999997,0.9902889
0.34199999999999997,0.9901256
0.34299999999999997,0.98995984
0.344,0.98979414
0.345,0.9896285
0.346,0.9894628
0.347,0.9892971
0.348,0.9891314
0.349,0.9889657
0.35,0.98880005
0.351,0.9886344
0.352,0.98845345
0.353,0.9882483
0.354,0.9880431
0.355,0.9878379
0.356,0.98763275
0.357,0.98742753
0.358,0.9872224
0.359,0.9870172
0.36,0.986812
0.361,0.9865652
0.362,0.9862829
0.363,0.9860006
0.364,0.9857183
0.365,0.985436
